country_code,parameter,unit,measurement_date,threshold_24h,country_daily_avg,locations_with_data,locations_exceeding,locations_comparable,reading_count,avg_hours_covered,reference_monitor_locations,exceedance_rate,rolling_7d_avg,rolling_7d_station_exceedance_rate
AE,pm10,µg/m³,2024-10-08,45.0,20.37489196304922,3,0,3,68,22.666666666666668,0,0.0,29.183081224547877,0.0
AE,pm10,µg/m³,2024-10-06,45.0,38.717214914790375,2,0,2,38,19.0,0,0.0,29.384597158285114,0.0
AE,pm10,µg/m³,2024-09-04,45.0,14.88293651172093,1,0,1,21,21.0,0,0.0,40.237691265385166,28.57142857142857
AE,pm10,µg/m³,2024-09-22,45.0,41.60781251059638,1,0,1,24,24.0,0,0.0,52.55210813738051,71.42857142857143
AE,pm10,µg/m³,2024-11-13,45.0,74.2748842301192,3,3,3,68,22.666666666666668,0,100.0,63.27020093931379,100.0
AE,pm10,µg/m³,2024-11-07,45.0,67.63223391109042,3,3,3,72,24.0,0,100.0,64.85312498814214,100.0
AE,pm10,µg/m³,2024-09-12,45.0,34.096354239516785,1,0,1,24,24.0,0,0.0,61.52440455893933,85.71428571428571
AE,pm10,µg/m³,2024-10-12,45.0,55.155179305209046,2,2,2,48,24.0,0,100.0,40.402254688512464,44.44444444444444
AE,pm10,µg/m³,2024-11-20,45.0,57.923784794630826,3,3,3,72,24.0,0,100.0,49.342796518255476,71.42857142857143
AE,pm10,µg/m³,2024-12-23,45.0,51.37511697301158,3,3,3,72,24.0,0,100.0,43.93217302706402,52.38095238095239
AE,pm10,µg/m³,2024-11-21,45.0,66.86664730751956,3,3,3,72,24.0,0,100.0,49.043513003362236,71.42857142857143
AE,pm10,µg/m³,2024-08-07,45.0,36.92465272876951,1,0,1,24,24.0,0,0.0,46.42262438253152,42.857142857142854
AE,pm10,µg/m³,2024-07-30,45.0,45.59374999999999,1,1,1,24,24.0,0,100.0,46.92348360159483,66.66666666666666
AE,pm10,µg/m³,2024-10-18,45.0,18.037673625957083,3,0,3,72,24.0,0,0.0,31.350839108060157,21.052631578947366
AE,pm10,µg/m³,2024-10-25,45.0,47.861353620908304,3,3,3,72,24.0,0,100.0,52.67514167631737,57.14285714285714
AE,pm10,µg/m³,2024-11-03,45.0,77.48275465656211,3,3,3,72,24.0,0,100.0,53.048721368350684,66.66666666666666
AE,pm10,µg/m³,2024-12-04,45.0,20.80426526014452,3,0,3,72,24.0,0,0.0,23.78398553773242,0.0
AE,pm10,µg/m³,2024-11-28,45.0,38.96750404934089,3,0,3,72,24.0,0,0.0,50.294880916249184,52.38095238095239
AE,pm10,µg/m³,2024-11-14,45.0,68.96163191177227,3,3,3,72,24.0,0,100.0,63.46011493941119,100.0
AE,pm10,µg/m³,2024-10-24,45.0,31.16778260524626,3,0,3,72,24.0,0,0.0,48.414615962752904,42.857142857142854
AE,pm10,µg/m³,2024-10-03,45.0,38.142013880941604,1,0,1,24,24.0,0,0.0,42.88153935259297,28.57142857142857
AE,pm10,µg/m³,2024-08-23,45.0,27.25711801979277,1,0,1,24,24.0,0,0.0,22.814441282619303,0.0
AE,pm10,µg/m³,2024-08-05,45.0,41.336979051431015,1,0,1,24,24.0,0,0.0,49.548318838140005,57.14285714285714
AE,pm10,µg/m³,2024-09-05,45.0,20.12881946067015,1,0,1,24,24.0,0,0.0,28.84250278737134,14.285714285714285
AE,pm10,µg/m³,2025-01-12,45.0,30.844583325915867,3,0,3,6,2.0,0,0.0,43.93612283825013,52.38095238095239
AE,pm10,µg/m³,2024-08-27,45.0,107.49621181777029,1,1,1,22,22.0,0,100.0,41.41492674311604,28.57142857142857
AE,pm10,µg/m³,2024-10-11,45.0,58.059844943152534,3,3,3,53,17.666666666666668,0,100.0,36.13236300037942,33.33333333333333
AE,pm10,µg/m³,2024-10-16,45.0,15.17484567600682,3,0,3,72,24.0,0,0.0,42.77707743862062,52.63157894736842
AE,pm10,µg/m³,2024-12-02,45.0,35.838182279357206,3,0,3,72,24.0,0,0.0,29.797136195816393,14.285714285714285
AE,pm10,µg/m³,2024-10-14,45.0,35.63682486436985,3,0,3,63,21.0,0,0.0,44.59022889522648,52.63157894736842
AE,pm10,µg/m³,2025-01-07,45.0,42.050177625745356,3,1,3,57,19.0,0,33.33333333333333,34.39316167120499,19.047619047619047
AE,pm10,µg/m³,2024-11-08,45.0,60.42201001997347,3,3,3,72,24.0,0,100.0,64.41224646442151,100.0
AE,pm10,µg/m³,2024-10-15,45.0,29.68827160640999,3,0,3,72,24.0,0,0.0,45.92071170142088,52.63157894736842
AE,pm10,µg/m³,2024-10-21,45.0,83.5822723529957,3,3,3,72,24.0,0,100.0,37.34671238956175,28.57142857142857
AE,pm10,µg/m³,2024-09-26,45.0,90.16875007417468,1,1,1,24,24.0,0,100.0,64.57891865665951,71.42857142857143
AE,pm10,µg/m³,2024-08-14,45.0,25.774275344351064,1,0,1,23,23.0,0,0.0,22.910738079275195,0.0
AE,pm10,µg/m³,2024-12-20,45.0,50.887004472591265,3,3,3,72,24.0,0,100.0,41.7081562405507,42.857142857142854
AE,pm10,µg/m³,2024-09-09,45.0,63.661110877990716,1,1,1,24,24.0,0,100.0,41.38639664337072,57.14285714285714
AE,pm10,µg/m³,2024-09-20,45.0,53.86770827240414,1,1,1,24,24.0,0,100.0,57.479985120750605,100.0
AE,pm10,µg/m³,2024-12-26,45.0,69.59234486244343,3,3,3,72,24.0,0,100.0,54.75615107015012,80.95238095238095
AE,pm10,µg/m³,2025-01-02,45.0,13.759098128926775,3,0,3,72,24.0,0,0.0,47.36575752200156,52.38095238095239
AE,pm10,µg/m³,2024-11-12,45.0,56.76697879126578,3,3,3,72,24.0,0,100.0,60.92147131095774,100.0
AE,pm10,µg/m³,2024-08-01,45.0,42.139236052831016,1,0,1,24,24.0,0,0.0,43.44994031996296,42.857142857142854
AE,pm10,µg/m³,2024-10-20,45.0,66.7049188691157,3,3,3,72,24.0,0,100.0,30.497362748329486,14.285714285714285
AE,pm10,µg/m³,2024-11-09,45.0,63.583969968336596,3,3,3,72,24.0,0,100.0,63.35197860727865,100.0
AE,pm10,µg/m³,2024-09-29,45.0,33.18854166401757,1,0,1,24,24.0,0,0.0,72.26576557708165,85.71428571428571
AE,pm10,µg/m³,2024-11-01,45.0,63.50815968601792,3,3,3,72,24.0,0,100.0,39.96337909681141,38.095238095238095
AE,pm10,µg/m³,2024-12-28,45.0,43.691965266510294,3,1,3,72,24.0,0,33.33333333333333,53.911017844159765,66.66666666666666
AE,pm10,µg/m³,2025-01-10,45.0,48.93909359971683,3,3,3,72,24.0,0,100.0,45.29909936432288,57.14285714285714
AE,pm10,µg/m³,2025-01-11,45.0,27.50377776887682,3,0,3,42,14.0,0,0.0,45.611825720136046,57.14285714285714
AE,pm10,µg/m³,2024-12-22,45.0,38.56091034633142,3,0,3,72,24.0,0,0.0,40.8082209750006,38.095238095238095
AE,pm10,µg/m³,2024-10-09,45.0,37.18028551560861,3,0,3,72,24.0,0,0.0,30.892764875169537,0.0
AE,pm10,µg/m³,2024-11-05,45.0,53.15341436642187,3,3,3,72,24.0,0,100.0,61.71933147705421,95.23809523809523
AE,pm10,µg/m³,2025-01-01,45.0,35.55206367373467,3,0,3,72,24.0,0,0.0,55.341935626789656,66.66666666666666
AE,pm10,µg/m³,2024-12-10,45.0,29.810858982580676,3,0,3,72,24.0,0,0.0,39.011684021997596,26.08695652173913
AE,pm10,µg/m³,2024-12-07,45.0,49.97963286836942,4,3,4,77,19.25,0,75.0,39.002095351135935,27.27272727272727
AE,pm10,µg/m³,2024-08-09,45.0,20.487152749239797,1,0,1,24,24.0,0,0.0,36.58271035353775,28.57142857142857
AE,pm10,µg/m³,2024-12-27,45.0,43.77340402205785,3,1,3,72,24.0,0,33.33333333333333,53.73992243435963,71.42857142857143
AE,pm10,µg/m³,2024-12-30,45.0,69.55401285904944,3,3,3,65,21.666666666666668,0,100.0,59.36759391111115,80.95238095238095
AE,pm10,µg/m³,2024-08-08,45.0,22.424131880203877,1,0,1,24,24.0,0,0.0,43.606180929299065,42.857142857142854
AE,pm10,µg/m³,2024-07-29,45.0,40.66840287711885,1,0,1,24,24.0,0,0.0,47.1894303219138,60.0
AE,pm10,µg/m³,2024-07-26,45.0,54.005439678827926,1,1,1,24,24.0,0,100.0,56.64577534905187,100.0
